title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-Ḥulal al-mawshīyah,الحلل الموشية,Ḥulal al-mawshīyah fī dhikr al-akhbār al-Marrākushīyah,حلل الموشية في ذكر الاخبار المراكشية,,,,
Kitāb Īḍāḥ al-mubham min Lāmīyah al-ʻAjam taʾlīf waḥīd ʻaṣrihi wa-balīgh dahrihi al-imām al-ʻālim al-nāsik al-ʻāmil mawlānā al-shaykh Abī Jumʻah Saʻīd ibn Masʻūd al-Marrākushī ...,كتاب ايضاح المبهم من لامية العجم تأليف وحيد عصره وبليغ دهره الامام العالم الناسك العامل مولانا الشيخ ابي جمعة سعيد بن مسعود المراكشي ...,Īḍāḥ al-mubham min Lāmīyah al-ʻAjam,,,,,
Kitāb Zahr al-ādāb wa-thamar ūlū al-albāb /,كتاب زهر الاداب وثمر اولو الالباب /,Zahr al-ādāb wa-thamar al-albāb,زهر الاداب وثمر الالباب,,,,
Ṭawāliʻ al-anwār /,طوالع الانوار /,Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār,طوالع الانوار من مطالع الانظار,,,,
Khidmat al-quddās al-ilāhī li-abīnā al-jalīl fī al-qadīsīn Yūḥannā Fam al-Dhahab,خدمة القداس الالهي لابينا الجليل في القديسين يوحنا فم الذهب,,,,,,
Bible stories,,,,,,,
Maḥabbah,محبة,,,,,,
Account book,,,,,,Account book,Q1387
Daftar mubārak saʻīd al-bādiyah ḥamīd al-nihāyah /,دفتر مبارك سعيد البادية حميد النهاية /,,,,,,
Kitāb al-Nūr al-sāṭiʻ wa-al-sirr al-qāṭiʻ fī ʻilm al-awfāq,كتاب النور الساطع والسر القاطع في علم الاوفاق,Nūr al-sāṭiʻ wa-al-sirr al-qāṭiʻ fī ʻilm al-awfāq,نور الساطع والسر القاطع في علم الاوفاق,,,,
al-Qurʾān,القرآن,Qurʼan,,,,Qurʼan,Q3697
al-Qurʼān,القرآن,Qurʼan,,,,Qurʼan,Q3697
al-Qurʾān. Sūrah 9:30-38,القرآن. سورة 9:30-38,Qurʼan,,Qurʼan,Q3697,,
Fī tārīkh Sūriyā al-qadīmah,في تاريخ سوريا القديمة,,,,,,
Qiṣṣat Kalʻād wa-waladih,قصة كلعاد وولده,Arabian nights,,,,,
Afāshīn al-istiʻdād li-tanāwul al-asrār al-ilāhīyah,افاشين الاستعداد لتناول الاسرار الالهية,,,,,,
al-Ṭabīʻah al-wāḥidah,الطبيعة الواحدة,,,,,,
al-Juzʾ al-thānī min al-kitāb al-awwal min Tawārīkh al-kanāʾisīyah,الجزء الثاني من الكتاب الاول من تواريخ الكنائسية,Tawārīkh al-kanāʾisīyah,تواريخ الكنائسية,,,,
Biographies of Christian saints,,,,,,,
Hādhihi risālah jalīlah tashtamilu ʻalá bayān al-tayammum wa-qaṣr al-ṣalāh wa-manāsik al-ḥajj al-sharīf,هاذه رسالة جليلة تشتمل على بيان التيمم وقصر الصلاة ومناسك الحج الشريف,Bayān al-tayammum wa-qaṣr al-ṣalāh wa-manāsik al-ḥajj al-sharīf,بيان التيمم وقصر الصلاة ومناسك الحج الشريف,,,,
Hādhā Fatḥ al-abwāb al-muqaffalah ʻan mabāḥith al-basmalah /,هذا فتح الابواب المقفلة عن مباحث البسمله/,Fatḥ al-abwāb al-muqaffalah ʻan mabāḥith al-basmalah,فتح الابواب المقفلة عن مباحث البسملة,,,,
Hādhihi qiṭʻah min Kitāb al-Ghayth al-munhamir; sharḥ ākhir arbʻāʼ fī shahr yawm naḥs mustamirr /,هذه قطعة من كتاب الغيث المنهمر,Ghayth al-munhamir,غيث المنهمر,,,,
Ḥukm ṣalāt al-ẓuhr baʻda al-Jumʻah,حكم صلاة الظهر بعد الجمعة,,,,,,
al-Qurʾān. Sūrah 2:7 - Sūrah 107,القرآن. سورة 2:7 - سورة 107,Qurʼan,,Qurʼan,Q3697,,
Hādhā kitāb al-Anwār al-muḍīʻah fī asrār asmāʾ Allāh taʻālá al-ʻāliyah wa-al-aqsām wa-al-gharāʾim al-ruḥānīyah,هذا كتاب الانوار المضيعة في اسرار اسماء الله تعالى العالية والاقسام والغرائم الروحانية,Anwār al-muḍīʻah fī asrār asmāʾ Allāh taʻālá al-ʻāliyah,انوار المضيعة في اسرار اسماء الله تعالى العالية,,,,
