row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Dagestan?,,,,Dagestan,http://vocab.getty.edu/tgn/7011494,Q40042
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z","Urmia, [",Orūmīyeh,http://vocab.getty.edu/tgn/1079226,,,,
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Brūsā,,,,Bursa,http://vocab.getty.edu/tgn/7002420,Q11629
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Cairo,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Damascus?,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z","Damascus, [",,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Qayṣarīyah,,,,Kayseri,http://vocab.getty.edu/tgn/7002465,Q11614
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Sīwās,Sivas,http://vocab.getty.edu/tgn/7002621,Q103463,,,
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Istanbul,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
