row_index,genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
237,"Manuscripts, Arabic--Syria--Damascus--19th century",lcsh,,"Manuscripts, Arabic;Syria--Damascus;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1207112;http://id.worldcat.org/fast/1037841,Q256;Q11409;Q3538,,,
238,"Manuscripts, Arabic--India--Aḥmadābād--16th century",lcsh,,"Manuscripts, Arabic;India--Ahmadābād;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1214914;http://id.worldcat.org/fast/1119851,Q256;Q110373;Q335,,,
239,"Manuscripts, Syriac--14th century",lcsh,,"Manuscripts, Syriac;Fourteenth century",http://id.worldcat.org/fast/1008506;http://id.worldcat.org/fast/933420,Q12691;Q295,,,
240,"Manuscripts, Arabic--Syria--16th century",lcsh,,,,,"Manuscripts, Arabic;Syria;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1208757;http://id.worldcat.org/fast/1119851,Q256;Q11447;Q335
241,Waqf--Books--Palestine--Nablus,lcsh,,Waqf;Books;West Bank--Nablus,http://id.worldcat.org/fast/1170323;http://id.worldcat.org/fast/836401;http://id.worldcat.org/fast/1224676,Q11403;Q40000;Q76500,,,
242,"Encyclopedias and dictionaries, Arabic--15th century",lcsh,,"Encyclopedias and dictionaries, Arabic;Fifteenth century",http://id.worldcat.org/fast/909551;http://id.worldcat.org/fast/923962,Q101303;Q154,,,
243,"Manuscripts, Arabic--Turkey--Istanbul--16th century",lcsh,,"Manuscripts, Arabic;Turkey--Istanbul;Sixteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1204833;http://id.worldcat.org/fast/1119851,Q256;Q4823;Q335,,,
244,illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
245,headpieces (layout features),aat,,,,,headpieces (layout features),http://vocab.getty.edu/aat/300207342,Q11536
246,Autographs,rbmscv,,,,,Autographs,http://id.loc.gov/vocabulary/rbmscv/cv00177,Q38431
247,Colored papers,rbmscv,,,,,Colored papers,http://id.loc.gov/vocabulary/rbmscv/cv01138,Q11569
248,"Manuscripts, Arabic--Syria--Dūmā--19th century",lcsh,,"Manuscripts, Arabic;Syria--Dūmā;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1281799;http://id.worldcat.org/fast/1037841,Q256;Q110379;Q3538,,,
249,"Manuscripts, Arabic--Syria--Damascus--15th century",lcsh,,,,,"Manuscripts, Arabic;Syria--Damascus;Fifteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1207112;http://id.worldcat.org/fast/923962,Q256;Q11409;Q154
250,Embossed papers,rbmscv,,,,,Embossed papers,http://id.loc.gov/vocabulary/rbmscv/cv01281,Q11580
251,"Manuscripts, Arabic--12th century",lcsh,,,,,"Manuscripts, Arabic;Twelfth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1159791,Q256;Q304
252,"Manuscripts, Turkish",lcsh,,,,,"Manuscripts, Turkish",http://id.worldcat.org/fast/1008521,Q3068
253,"Manuscripts, Urdu",lcsh,,"Manuscripts, Urdu",http://id.worldcat.org/fast/1008525,Q48717,,,
254,Trivia and miscellanea,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026201,,,,Trivia and miscellanea,http://id.worldcat.org/fast/1921748,Q26886
255,"Manuscripts, Arabic--Ṣafad--14th century",lcsh,,"Manuscripts, Arabic;Israel--Tsefat;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1209839;http://id.worldcat.org/fast/933420,Q256;Q64096;Q295,,,
256,"Manuscripts, Arabic--Jerusalem--14th century",lcsh,,,,,"Manuscripts, Arabic;Middle East--Jerusalem;Fourteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1216276;http://id.worldcat.org/fast/933420,Q256;Q7086;Q295
257,"Manuscripts, Arabic--Yemen--19th century",lcsh,,"Manuscripts, Arabic;Yemen (Republic);Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1309629;http://id.worldcat.org/fast/1037841,Q256;Q11522;Q3538,,,
258,Biographies,fast,,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
259,"Manuscripts, Turkish--18th century",lcsh,,,,,"Manuscripts, Turkish;Eighteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/904058,Q3068;Q3024
260,"Manuscripts, Turkish--19th century",lcsh,,,,,"Manuscripts, Turkish;Nineteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1037841,Q3068;Q3538
