title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Nuzhat al-nāẓir fī manāqib ʻAbd al-Qādir,,,,,,,
Risālah fī al-qāt,,,,,,,
Qurʼān al-Karīm; Sūrat al-Fatḥ,,Qurʼan,,Qurʼan,Q3697,,
"al-Qurʾān. Sūrah 1, 6, 18, 34, 35",,Qurʼan,,Qurʼan,Q3697,,
Qurʼan with interlinear Persian translation,,,,Qurʼan,Q3697,,
"Ijāzah, 1668, for Ibrāhīm ibn ʻAbd al-Raḥmān",,,,Ijāzah,Q12191,,
ʻUqūd manzūmah min sunan Sayyid al-Mursalīn,,,,,,,
Salwat al-aḥzān ... [etc,سلوة الاحزان ... الخ,,,,,,
Bard al-akbād fī faqd al-awlād ... [etc,برد الاكباد في فقد الاولاد ... الخ,,,,,,
Kaff al-asmāʻ ʻamman yantaqidu ʻalá al-ṣāliḥīn al-samāʻ ... [etc,كف الاسماع عمن ينتقد على الصالحين السماع ... الخ,Works,اعمال,,,,
ʻAḍudīyah ... [etc,عضدية ... الخ,,,,,,
ʻIlm al-muktasab fī zirāʻat al-dhahab ... [etc,علم المكتسب في زراعة الذهب ... الخ,,,,,,
Mawālīd al-rijāl wa-al-nisāʼ ... [etc,مواليد الرجال والنساء ... الخ,,,,,,
Dīwān ... [etc,ديوان ... الخ,,,,,Diwan,Q11912
Taqātīf al-Jazzār ... [etc,تقاتيف الجزار ... الخ,,,,,,
Terçume-yi Menazil üs-salikin ... [etc,,,,,,,
Minḥat al-labīb fī sīrat al-ḥabīb ... [etc,منحة اللبيب في سيرة الحبيب ... الخ,Works,اعمال,,,,
Sharḥ al-Samarqandīyah fī ādāb al-baḥth ... [etc,شرح السمرقندية في آداب البحث ... الخ,,,,,,
Thabat ... [etc,ثبة ... الخ,,,,,,
Aqālīm al-sabʻah dhāt al-ṣuwar wa-al-tashābīh ... [etc,اقاليم السبعة ذات الصور والتشابيه ... الخ,,,,,,
Kitāb Tuḥfat al-khullān wa-ʻumdat al-ikhwān ... [etc,كتاب تحفة الخلان وعمدة الاخوان ... الخ,,,,,,
Sharḥ Lāmīyat al-ʻAjam ... [etc,شرح لامية العجم ... الخ,,,,,,
al-Jawhar al-munaẓẓam fī faḍāʼil māʼ Zamzam ... [etc,الجوهر المنظم في فضائل ماء زمزم ... الخ,,,,,,
Taqrīb fī asrār al-tarkīb ... [etc,تقريب في اسرار التركيب ... الخ,,,,,,
Miftāḥ al-ḥikam ... [etc,مفتاح الحكم ... الخ,,,,,,
Jalāʼ qulūb al-ʻārifīn ... [etc,جلاء قلوب العارفين ... الخ,,,,,,
Risālah fī al-ʻamal bi-al-rubʻ al-mujayyab al-āfāqī ... [etc,رسالة في العمل بالربع المجيب الافاقي ... الخ,,,,,,
Kifāyat al-qunūʻ fī al-ʻamal bi-al-rubʻ al-maqṭūʻ ... [etc,كفاية القنوع في العمل بالربع المقطوع ... الخ,,,,,,
Risālah fī ṣifat rumūz jafrīyah wa-ishārāt ḥarfīyah wa-ḥarakāt falakīyah ... [etc,رسالة في صفة رموز جفرية واشارات حرفية وحركات فلكية ... الخ,,,,,,
Durrat man ẓabara bi-al-gharāʼib wa-atá min baḥr futūḥātihi bi-al-ʻajāʼib ... [etc,درة من ظبر بالغرائب واتى من بحر فتوحاته بالعجائب ... الخ,,,,,,
Alwāḥ al-jawāhir ... [etc,الواح الجواهر ... الخ,,,,,,
Qawl ʻalá al-Shiʻrá al-Yamānīyah ... [etc,قول على الشعرى اليمانية ... الخ,,,,,,
Bidāyat al-murīd wa-nihāyat al-saʻīd /,بداية المريد ونهاية السعيد /,,,,,,
al-Sayr wa-al-sulūk ilá malik al-mulūk,السير والسلوك الى ملك الملوك,,,,,,
Kitāb Abū al-Muʻīn al-Nasafī Baḥr al-kalām,كتاب ابو المعين النسفي بحر الكلام,Baḥr al-kalām,بحر الكلام,,,,
al-Niṣf al-awwal min al-Khiṭaṭ /,النصف الاول من الخطط /,Mawāʻiẓ wa-al-iʻtibār fī dhikr al-khiṭaṭ wa-al-āthār,مواعظ والاعتبار في ذكر الخطط والآثار,,,,
Kitāb al-Ḥabāʾik fī akhbār al-malāʾik /,كتاب الحبائك في اخبار الملائك /,Ḥabāʾik fī akhbār al-malāʾik,حبائك في اخبار الملائك,,,,
al-Juzʾ al-thānī min al-Ṭabaqāt al-wusṭá /,الجزء الثاني من الطبقات الوسطى /,Ṭabaqāt al-Shāfiʻīyah al-wusṭá,طبقات الشافعية الوسطى,,,,
