holding_institution,shelfmark,iiif_manifest_url
conception,CA 20,https://iiif.archivelab.org/iiif/images_CA20_15/manifest.json
conception,CA 19,https://iiif.archivelab.org/iiif/images_CA19_15/manifest.json
conception,CA 18,https://iiif.archivelab.org/iiif/images_CA18_15/manifest.json
conception,CA 17,https://iiif.archivelab.org/iiif/images_CA17_15/manifest.json
conception,CA 16,https://iiif.archivelab.org/iiif/images_CA16_15/manifest.json
conception,CA 15,https://iiif.archivelab.org/iiif/images_CA15_15/manifest.json
conception,CA 14,https://iiif.archivelab.org/iiif/images_CA14_15/manifest.json
conception,CA 13,https://iiif.archivelab.org/iiif/images_CA13_15/manifest.json
conception,CA 12,https://iiif.archivelab.org/iiif/images_CA12_15/manifest.json
conception,CA 11,https://iiif.archivelab.org/iiif/images_CA11_15/manifest.json
conception,CA 10,https://iiif.archivelab.org/iiif/images_CA10_15/manifest.json
conception,CA 09,https://iiif.archivelab.org/iiif/images_CA09_15/manifest.json
conception,CA 08,https://iiif.archivelab.org/iiif/images_CA08_15/manifest.json
conception,CA 07,https://iiif.archivelab.org/iiif/images_CA07_15/manifest.json
conception,CA 06,https://iiif.archivelab.org/iiif/images_CA06_15/manifest.json
conception,CA 05,https://iiif.archivelab.org/iiif/images_CA05_15/manifest.json
conception,CA 04,https://iiif.archivelab.org/iiif/images_CA04_15/manifest.json
conception,CA 02,https://iiif.archivelab.org/iiif/images_CA02_15/manifest.json
conception,CA 01,https://iiif.archivelab.org/iiif/images_CA01_15/manifest.json
cuny,MS 1,https://iiif.archivelab.org/iiif/images_MS1_5/manifest.json
grolier,MS 01,https://iiif.archivelab.org/iiif/images_MS01_24/manifest.json
grolier,MS 03,https://iiif.archivelab.org/iiif/images_MS03_24/manifest.json
grolier,MS 04,https://iiif.archivelab.org/iiif/images_MS04_24/manifest.json
grolier,MS 06,https://iiif.archivelab.org/iiif/images_MS06_24/manifest.json
grolier,MS 07,https://iiif.archivelab.org/iiif/images_MS07_24/manifest.json
grolier,MS 09,https://iiif.archivelab.org/iiif/images_MS09_24/manifest.json
grolier,MS 10,https://iiif.archivelab.org/iiif/images_MS10_24/manifest.json
grolier,MS 11,https://iiif.archivelab.org/iiif/images_MS11_24/manifest.json
grolier,MS 12,https://iiif.archivelab.org/iiif/images_MS12_24/manifest.json
grolier,MS 13,https://iiif.archivelab.org/iiif/images_MS13_24/manifest.json
grolier,MS 14,https://iiif.archivelab.org/iiif/images_MS14_24/manifest.json
grolier,MS 16,https://iiif.archivelab.org/iiif/images_MS16_24/manifest.json
grolier,MS 17,https://iiif.archivelab.org/iiif/images_MS17_24/manifest.json
grolier,MS 18,https://iiif.archivelab.org/iiif/images_MS18_24/manifest.json
gts,01 Western,https://iiif.archivelab.org/iiif/images_01Western_23/manifest.json
gts,02 Western,https://iiif.archivelab.org/iiif/images_02Western_23/manifest.json
gts,03 Western,https://iiif.archivelab.org/iiif/images_03Western_23/manifest.json
gts,05 Western,https://iiif.archivelab.org/iiif/images_05Western_23/manifest.json
gts,06 Western,https://iiif.archivelab.org/iiif/images_06Western_23/manifest.json
gts,07 Western,https://iiif.archivelab.org/iiif/images_07Western_23/manifest.json
gts,08 Western,https://iiif.archivelab.org/iiif/images_08Western_23/manifest.json
gts,09 Western,https://iiif.archivelab.org/iiif/images_09Western_23/manifest.json
gts,10 Western,https://iiif.archivelab.org/iiif/images_10Western_23/manifest.json
gts,11 Western,https://iiif.archivelab.org/iiif/images_11Western_23/manifest.json
gts,12 Western,https://iiif.archivelab.org/iiif/images_12Western_23/manifest.json
gts,13 Western,https://iiif.archivelab.org/iiif/images_13Western_23/manifest.json
gts,14 Western,https://iiif.archivelab.org/iiif/images_14Western_23/manifest.json
gts,15 Western,https://iiif.archivelab.org/iiif/images_15Western_23/manifest.json
gts,16 Western,https://iiif.archivelab.org/iiif/images_16Western_23/manifest.json
gts,17 Western,https://iiif.archivelab.org/iiif/images_17Western_23/manifest.json
gts,18 Western,https://iiif.archivelab.org/iiif/images_18Western_23/manifest.json
gts,19 Western,https://iiif.archivelab.org/iiif/images_19Western_23/manifest.json
indiana,Adomeit 21,https://iiif.archivelab.org/iiif/images_Adomeit21_40/manifest.json
indiana,Adomeit 48,https://iiif.archivelab.org/iiif/images_Adomeit48_40/manifest.json
indiana,Adomeit 9,https://iiif.archivelab.org/iiif/images_Adomeit9_40/manifest.json
indiana,Allen 7,https://iiif.archivelab.org/iiif/images_Allen7_40/manifest.json
indiana,Ege 15 ,https://iiif.archivelab.org/iiif/images_Ege15_40/manifest.json
indiana,Gottfried Mss.,https://iiif.archivelab.org/iiif/images_GottfriedMss_40/manifest.json
indiana,Medieval and Renaissance 14,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance14_40/manifest.json
indiana,Medieval and Renaissance 15,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance15_40/manifest.json
indiana,Medieval and Renaissance 2,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance2_40/manifest.json
indiana,Medieval and Renaissance 26,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance26_40/manifest.json
indiana,Medieval and Renaissance 29,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance29_40/manifest.json
indiana,Medieval and Renaissance 30,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance30_40/manifest.json
indiana,Medieval and Renaissance 34,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance34_40/manifest.json
indiana,Medieval and Renaissance 36,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance36_40/manifest.json
indiana,Medieval and Renaissance 46,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance46_40/manifest.json
indiana,Medieval and Renaissance 47,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance47_40/manifest.json
indiana,Medieval and Renaissance 48,https://iiif.archivelab.org/iiif/images_MedievalandRenaissance48_40/manifest.json
indiana,Poole 102,https://iiif.archivelab.org/iiif/images_Poole102_40/manifest.json
indiana,Poole 11,https://iiif.archivelab.org/iiif/images_Poole11_40/manifest.json
indiana,Poole 133,https://iiif.archivelab.org/iiif/images_Poole133_40/manifest.json
indiana,Poole 136,https://iiif.archivelab.org/iiif/images_Poole136_40/manifest.json
indiana,Poole 13,https://iiif.archivelab.org/iiif/images_Poole13_40/manifest.json
indiana,Poole 14,https://iiif.archivelab.org/iiif/images_Poole14_40/manifest.json
indiana,Poole 16,https://iiif.archivelab.org/iiif/images_Poole16_40/manifest.json
indiana,Poole 17,https://iiif.archivelab.org/iiif/images_Poole17_40/manifest.json
indiana,Poole 18,https://iiif.archivelab.org/iiif/images_Poole18_40/manifest.json
indiana,Poole 19,https://iiif.archivelab.org/iiif/images_Poole19_40/manifest.json
indiana,Poole 20,https://iiif.archivelab.org/iiif/images_Poole20_40/manifest.json
indiana,Poole 24,https://iiif.archivelab.org/iiif/images_Poole24_40/manifest.json
indiana,Poole 27,https://iiif.archivelab.org/iiif/images_Poole27_40/manifest.json
indiana,Poole 30,https://iiif.archivelab.org/iiif/images_Poole30_40/manifest.json
indiana,Poole 32,https://iiif.archivelab.org/iiif/images_Poole32_40/manifest.json
indiana,Poole 38,https://iiif.archivelab.org/iiif/images_Poole38_40/manifest.json
indiana,Poole 39,https://iiif.archivelab.org/iiif/images_Poole39_40/manifest.json
indiana,Poole 40,https://iiif.archivelab.org/iiif/images_Poole40_40/manifest.json
indiana,Poole 41,https://iiif.archivelab.org/iiif/images_Poole41_40/manifest.json
indiana,Poole 70,https://iiif.archivelab.org/iiif/images_Poole70_40/manifest.json
indiana,Poole 82,https://iiif.archivelab.org/iiif/images_Poole82_40/manifest.json
indiana,Poole 8,https://iiif.archivelab.org/iiif/images_Poole8_40/manifest.json
indiana,Poole 98,https://iiif.archivelab.org/iiif/images_Poole98_40/manifest.json
indiana,Poole 9,https://iiif.archivelab.org/iiif/images_Poole9_40/manifest.json
indiana,Ricketts 101,https://iiif.archivelab.org/iiif/images_Ricketts101_40/manifest.json
indiana,Ricketts 107,https://iiif.archivelab.org/iiif/images_Ricketts107_40/manifest.json
indiana,Ricketts 108,https://iiif.archivelab.org/iiif/images_Ricketts108_40/manifest.json
indiana,Ricketts 117,https://iiif.archivelab.org/iiif/images_Ricketts117_40/manifest.json
indiana,Ricketts 118,https://iiif.archivelab.org/iiif/images_Ricketts118_40/manifest.json
indiana,Ricketts 120,https://iiif.archivelab.org/iiif/images_Ricketts120_40/manifest.json
indiana,Ricketts 12,https://iiif.archivelab.org/iiif/images_Ricketts12_40/manifest.json
indiana,Ricketts 133,https://iiif.archivelab.org/iiif/images_Ricketts133_40/manifest.json
indiana,Ricketts 136,https://iiif.archivelab.org/iiif/images_Ricketts136_40/manifest.json
indiana,Ricketts 140,https://iiif.archivelab.org/iiif/images_Ricketts140_40/manifest.json
indiana,Ricketts 141,https://iiif.archivelab.org/iiif/images_Ricketts141_40/manifest.json
indiana,Ricketts 144,https://iiif.archivelab.org/iiif/images_Ricketts144_40/manifest.json
indiana,Ricketts 148,https://iiif.archivelab.org/iiif/images_Ricketts148_40/manifest.json
indiana,Ricketts 155,https://iiif.archivelab.org/iiif/images_Ricketts155_40/manifest.json
indiana,Ricketts 157,https://iiif.archivelab.org/iiif/images_Ricketts157_40/manifest.json
indiana,Ricketts 15,https://iiif.archivelab.org/iiif/images_Ricketts15_40/manifest.json
indiana,Ricketts 162,https://iiif.archivelab.org/iiif/images_Ricketts162_40/manifest.json
indiana,Ricketts 177,https://iiif.archivelab.org/iiif/images_Ricketts177_40/manifest.json
indiana,Ricketts 17,https://iiif.archivelab.org/iiif/images_Ricketts17_40/manifest.json
indiana,Ricketts 189,https://iiif.archivelab.org/iiif/images_Ricketts189_40/manifest.json
indiana,Ricketts 191,https://iiif.archivelab.org/iiif/images_Ricketts191_40/manifest.json
indiana,Ricketts 193,https://iiif.archivelab.org/iiif/images_Ricketts193_40/manifest.json
indiana,Ricketts 198,https://iiif.archivelab.org/iiif/images_Ricketts198_40/manifest.json
indiana,Ricketts 19,https://iiif.archivelab.org/iiif/images_Ricketts19_40/manifest.json
indiana,Ricketts 205,https://iiif.archivelab.org/iiif/images_Ricketts205_40/manifest.json
indiana,Ricketts 206,https://iiif.archivelab.org/iiif/images_Ricketts206_40/manifest.json
indiana,Ricketts 20,https://iiif.archivelab.org/iiif/images_Ricketts20_40/manifest.json
indiana,Ricketts 215,https://iiif.archivelab.org/iiif/images_Ricketts215_40/manifest.json
indiana,Ricketts 222,https://iiif.archivelab.org/iiif/images_Ricketts222_40/manifest.json
indiana,Ricketts 225,https://iiif.archivelab.org/iiif/images_Ricketts225_40/manifest.json
indiana,Ricketts 233,https://iiif.archivelab.org/iiif/images_Ricketts233_40/manifest.json
indiana,Ricketts 240,https://iiif.archivelab.org/iiif/images_Ricketts240_40/manifest.json
indiana,Ricketts 24,https://iiif.archivelab.org/iiif/images_Ricketts24_40/manifest.json
indiana,Ricketts 259,https://iiif.archivelab.org/iiif/images_Ricketts259_40/manifest.json
indiana,Ricketts 26,https://iiif.archivelab.org/iiif/images_Ricketts26_40/manifest.json
indiana,Ricketts 274,https://iiif.archivelab.org/iiif/images_Ricketts274_40/manifest.json
indiana,Ricketts 28,https://iiif.archivelab.org/iiif/images_Ricketts28_40/manifest.json
indiana,Ricketts 2,https://iiif.archivelab.org/iiif/images_Ricketts2_40/manifest.json
indiana,Ricketts 30,https://iiif.archivelab.org/iiif/images_Ricketts30_40/manifest.json
indiana,Ricketts 47,https://iiif.archivelab.org/iiif/images_Ricketts47_40/manifest.json
indiana,Ricketts 51,https://iiif.archivelab.org/iiif/images_Ricketts51_40/manifest.json
indiana,Ricketts 63,https://iiif.archivelab.org/iiif/images_Ricketts63_40/manifest.json
indiana,Ricketts 65,https://iiif.archivelab.org/iiif/images_Ricketts65_40/manifest.json
indiana,Ricketts 75,https://iiif.archivelab.org/iiif/images_Ricketts75_40/manifest.json
indiana,Ricketts 79,https://iiif.archivelab.org/iiif/images_Ricketts79_40/manifest.json
indiana,Ricketts 86,https://iiif.archivelab.org/iiif/images_Ricketts86_40/manifest.json
indiana,Ricketts 97,https://iiif.archivelab.org/iiif/images_Ricketts97_40/manifest.json
indiana,Ricketts 9,https://iiif.archivelab.org/iiif/images_Ricketts9_40/manifest.json
indiana,Ricketts C: 1,https://iiif.archivelab.org/iiif/images_RickettsC1_40/manifest.json
indiana,Ricketts C: 3,https://iiif.archivelab.org/iiif/images_RickettsC3_40/manifest.json
indiana,Ricketts D: 5,https://iiif.archivelab.org/iiif/images_RickettsD5_40/manifest.json
indiana,Ricketts H: 21,https://iiif.archivelab.org/iiif/images_RickettsH21_40/manifest.json
indiana,Ricketts III: 25,https://iiif.archivelab.org/iiif/images_RickettsIII25_40/manifest.json
indiana,Ricketts III: 53,https://iiif.archivelab.org/iiif/images_RickettsIII53_40/manifest.json
indiana,Ricketts K: 4,https://iiif.archivelab.org/iiif/Images_RickettsK4_40/manifest.json
indiana,Ricketts K: 6,https://iiif.archivelab.org/iiif/images_RickettsK6_40/manifest.json
indiana,Ricketts K: 8,https://iiif.archivelab.org/iiif/images_RickettsK8_40/manifest.json
indiana,Ricketts L: 1,https://iiif.archivelab.org/iiif/images_RickettsL1_40/manifest.json
indiana,Ricketts L: 2,https://iiif.archivelab.org/iiif/images_RickettsL2_40/manifest.json
indiana,Ricketts L: 3,https://iiif.archivelab.org/iiif/images_RickettsL3_40/manifest.json
kansas,MS 9/1:A10,https://iiif.archivelab.org/iiif/images_1A10_30/manifest.json
kansas,MS 9/1:A11,https://iiif.archivelab.org/iiif/images_1A11_30/manifest.json
kansas,MS 9/1:A12,https://iiif.archivelab.org/iiif/images_1A12_30/manifest.json
kansas,MS 9/1:A13,https://iiif.archivelab.org/iiif/images_1A13_30/manifest.json
kansas,MS 9/1:A14,https://iiif.archivelab.org/iiif/images_1A14_30/manifest.json
kansas,MS 9/1:A15,https://iiif.archivelab.org/iiif/images_1A15_30/manifest.json
