record,recordLabel,dateString,earliestDate,latestDate,languages,genres,subjects
https://catalog.digital-scriptorium.org/entity/Q112666,Kitāb Taysīr al-maṭālib fī asrār al-ḥurūf / (DS29817),1607,1605,1605,Arabic,,"Manuscripts, Arabic|Early works|Islamic magic|Arabic alphabet|New Jersey--Princeton|Symbolism|Divination--Religious aspects--Islam"
https://catalog.digital-scriptorium.org/entity/Q5612,Ledger of Medici accounts (DS1036),1597-1605.,1597,1605,Italian,,"Italy|Accounting|Sixteenth century|Medici, House of|Archives|Medici, Vincenzo de'"
https://catalog.digital-scriptorium.org/entity/Q101728,Majmaʻ biḥār al-anwār fī gharāyib al-tanzīl wa-laṭāyif al-akhbār (DS26551),"16 Rabīʻ al-Awwal 1014 [August 1, 1605",1605,1605,Arabic,,"Manuscripts, Arabic|Early works|Dictionaries|Hadith|Qurʼan|New Jersey--Princeton"
https://catalog.digital-scriptorium.org/entity/Q60706,Nakş-i hayal (DS14541),1605,1605,1605,Ottoman Turkish,,"Manuscripts, Turkish|New Jersey--Princeton"
https://catalog.digital-scriptorium.org/entity/Q30652,Nyāyamakaranda (DS7105),1605.,1605,1605,Sanskrit,,Hindu philosophy|Hindu logic
https://catalog.digital-scriptorium.org/entity/Q113332,Sevcenko; Theotocarium (DS30039),1605,1605,1605,Greek,,Liturgics
https://catalog.digital-scriptorium.org/entity/Q91470,"Undated; ""Legacies discharged by Sir Nicholas Bacon the youngergeven be bythe late Sr Nycholas Bacon Knighte lord keper ..."" (3 pages of 24 pages book) (DS23248)",1580 circa,1555,1605,,,
https://catalog.digital-scriptorium.org/entity/Q72868,"Account book of the Real Caja in Verapaz, Guatemala for 1606 (DS17725)",1606 March 31-1606 Sept. 22.,1606,1606,Spanish,,"Manuscripts, Spanish|Taxation|Sources|Seventeenth century|Economic conditions|Tax collection|History|Indians of Central America|Guatemala--Alta Verapaz|Indians of Central America--Taxation"
https://catalog.digital-scriptorium.org/entity/Q111190,Dīwān (DS29325),"6 Muḥarram 1015 [May 14, 1606?",1606,1606,Arabic,,"Manuscripts, Arabic|New Jersey--Princeton"
https://catalog.digital-scriptorium.org/entity/Q54039,"Este es el epitome del compendio historial de Estevan de Garibay, recopilado por Don Antonio Pellicer de Ossau ; Apuntamientos dela coronica del emperador Carlos 5 escrita por fr. Prudencio de... (DS12743)",1517-1606.,1517,1606,Spanish,,"Manuscripts, Spanish|Specimens|Early works|Sixteenth century|Spain|History|Charles V, Holy Roman Emperor, 1500-1558|Monarchy|Manuscripts|414-711|Spain--Navarre|Visigoths"
